type,topic,content,explanation,points,sort_order
SPEAKING_PART3,Why do people enjoy playing sports?,"{""template"":""SPEAKING_PART3"",""total"":1,""title"":""Speaking Part 3"",""part"":""Part 3"",""questions"":[{""urlpic1"":""https://www.aptiskey.com/images/speaking/part3/de11_1.png"",""urlpic2"":""https://www.aptiskey.com/images/speaking/part3/de11_2.png"",""question1"":""Tell me what you see in the two pictures and compare them."",""question1_answer"":""In both pictures, I can see people taking part in sports activities and competitions.\n\nIn the first picture, I can see a group of athletes playing wheelchair basketball. They are wearing sports clothes and trying to score points during a match. This sport requires teamwork and strong determination.\n\nIn the second picture, I can see two older men playing tennis. They are shaking hands after the match, and they look happy and friendly.\n\nThe main difference between these two pictures is that the first picture shows a team sport for athletes with disabilities, while the second picture shows an individual sport between two people."",""question2"":""Why do people enjoy playing sports?"",""question2_answer"":""I think people enjoy playing sports because sports bring many benefits to their lives.\n\nFirst, sports help people stay healthy, improve their physical strength and reduce stress. Besides that, playing sports can help people make friends and develop teamwork skills.\n\nFor many people, sports are not only about winning but also about having fun and challenging themselves."",""question3"":""How can sports help people overcome difficulties in life?"",""question3_answer"":""Sports can help people overcome difficulties by teaching them important skills such as patience, confidence and determination.\n\nFor example, athletes have to practice regularly and never give up when they face challenges. Sports also help people develop a positive attitude and believe in themselves.\n\nI think taking part in sports can make people stronger both physically and mentally.""}]}",Speaking Part 3 import template,10,11
SPEAKING_PART3,Why do people like shopping at markets or supermarkets?,"{""template"":""SPEAKING_PART3"",""total"":1,""title"":""Speaking Part 3"",""part"":""Part 3"",""questions"":[{""urlpic1"":""https://www.aptiskey.com/images/speaking/part3/de12_1.png"",""urlpic2"":""https://www.aptiskey.com/images/speaking/part3/de12_2.png"",""question1"":""Tell me what you see in the two pictures and compare them."",""question1_answer"":""In both pictures, I can see people buying or selling food in different places.\n\nIn the first picture, I can see a family shopping in a supermarket. The father is holding his daughter, and they are looking at products on the shelves. The supermarket looks modern and organized.\n\nIn the second picture, I can see some people selling vegetables and food at a local market. There are many fresh products displayed around them, and the atmosphere looks more traditional and crowded.\n\nThe main difference between these two pictures is that the first picture shows shopping in a modern supermarket, while the second picture shows a traditional outdoor market."",""question2"":""Why do people like shopping at markets or supermarkets?"",""question2_answer"":""I think people like shopping at markets and supermarkets because they can easily find the food and products they need.\n\nSupermarkets are convenient because they offer many different types of goods in one place, while traditional markets often provide fresh food and a more personal shopping experience.\n\nBesides that, shopping can also be an enjoyable activity because people can spend time with their family and choose their favorite products."",""question3"":""How can people make shopping more convenient and effective?"",""question3_answer"":""People can make shopping more convenient by planning carefully before they go.\n\nFor example, they can make a shopping list, compare prices and choose the best time to shop to avoid crowds. They can also use online shopping services when they do not have much time.\n\nI think good preparation can help people save time, save money and have a better shopping experience.""}]}",Speaking Part 3 import template,10,12
SPEAKING_PART3,Why do people like travelling to different places?,"{""template"":""SPEAKING_PART3"",""total"":1,""title"":""Speaking Part 3"",""part"":""Part 3"",""questions"":[{""urlpic1"":""https://www.aptiskey.com/images/speaking/part3/de13_1.png"",""urlpic2"":""https://www.aptiskey.com/images/speaking/part3/de13_2.png"",""question1"":""Tell me what you see in the two pictures and compare them."",""question1_answer"":""In both pictures, I can see people enjoying outdoor activities and travelling to beautiful places.\n\nIn the first picture, I can see a group of people climbing a mountain. They are standing on a high area and looking at the beautiful view below. This activity seems challenging and requires physical strength.\n\nIn the second picture, I can see a family spending time together on a beach. They are walking along the seaside and enjoying the sunny weather.\n\nThe main difference between these two pictures is that the first picture shows an adventurous activity in the mountains, while the second picture shows a relaxing family holiday at the beach."",""question2"":""Why do people like travelling to different places?"",""question2_answer"":""I think people like travelling because it helps them relax and experience new things.\n\nWhen people travel, they can discover beautiful places, learn about different cultures and create unforgettable memories. Travelling also helps people escape from their busy daily routines and reduce stress.\n\nFor example, some people enjoy adventurous trips like mountain climbing, while others prefer relaxing holidays with their family."",""question3"":""How can people prepare for a safe and enjoyable trip?"",""question3_answer"":""People can prepare for a safe and enjoyable trip by planning carefully before travelling.\n\nThey should check the weather, prepare suitable clothes, bring necessary items and learn about the destination. For outdoor activities like climbing, people also need proper equipment and good physical preparation.\n\nI think good planning is important because it can help people avoid problems and enjoy their journey more.""}]}",Speaking Part 3 import template,10,13
SPEAKING_PART3,Why do people like listening to or playing music?,"{""template"":""SPEAKING_PART3"",""total"":1,""title"":""Speaking Part 3"",""part"":""Part 3"",""questions"":[{""urlpic1"":""https://www.aptiskey.com/images/speaking/part3/de14_1.png"",""urlpic2"":""https://www.aptiskey.com/images/speaking/part3/de14_2.png"",""question1"":""Tell me what you see in the two pictures and compare them."",""question1_answer"":""In both pictures, I can see people involved in musical activities.\n\nIn the first picture, I can see a woman teaching a child how to play the piano. There is also a person playing the guitar in the background. It looks like a private music lesson at home, where the child is learning a new skill.\n\nIn the second picture, I can see a band performing on a stage in front of a large audience. The musicians are playing instruments and entertaining many people.\n\nThe main difference between these two pictures is that the first picture shows learning music in a small and private environment, while the second picture shows a professional public performance."",""question2"":""Why do people like listening to or playing music?"",""question2_answer"":""I think people like listening to or playing music because music can bring happiness and help them relax.\n\nListening to music can reduce stress and improve people's mood after a busy day. For those who play instruments, music is also a way to express their feelings and develop creativity.\n\nMoreover, music can connect people because they can share their favorite songs and enjoy performances together."",""question3"":""How can people develop their musical skills?"",""question3_answer"":""People can develop their musical skills by practicing regularly and learning from others.\n\nFor example, they can take music lessons, watch online tutorials or join music clubs. It is also important to listen to different types of music to improve their understanding and creativity.\n\nI think patience and regular practice are the most important factors because learning music takes time and effort.""}]}",Speaking Part 3 import template,10,14
SPEAKING_PART3,Why do people like going on holidays?,"{""template"":""SPEAKING_PART3"",""total"":1,""title"":""Speaking Part 3"",""part"":""Part 3"",""questions"":[{""urlpic1"":""https://www.aptiskey.com/images/speaking/part3/de15_1.png"",""urlpic2"":""https://www.aptiskey.com/images/speaking/part3/de15_2.png"",""question1"":""Tell me what you see from the two picture?"",""question1_answer"":""In both pictures, I can see people spending their time outdoors and enjoying beautiful places.\n\nIn the first picture, I can see a crowded beach with many people relaxing under colorful umbrellas. There are many tourists, and the atmosphere looks lively and exciting.\n\nIn the second picture, I can see two people sitting near a lake and enjoying the view of a mountain. The place looks quiet, peaceful and surrounded by nature.\n\nThe main difference between these two pictures is that the first picture shows a crowded and energetic holiday destination, while the second picture shows a quiet place where people can relax."",""question2"":""Why do people like going on holidays?"",""question2_answer"":""I think people like going on holidays because travelling helps them relax and escape from their stressful daily lives.\n\nDuring a holiday, people can explore new places, enjoy beautiful scenery and spend quality time with their family or friends. It also gives them a chance to experience different cultures and create memorable moments.\n\nFor example, some people enjoy relaxing on beaches, while others prefer visiting natural places like mountains or lakes."",""question3"":""How can people have a better holiday experience?"",""question3_answer"":""People can have a better holiday experience by planning carefully before travelling.\n\nThey should choose a suitable destination, check the weather, prepare necessary items and make a reasonable budget. It is also important to respect local people and protect the environment when visiting new places.\n\nI think good preparation can help people avoid problems and enjoy their holidays more comfortably.""}]}",Speaking Part 3 import template,10,15
SPEAKING_PART3,Why do people choose different forms of transportation?,"{""template"":""SPEAKING_PART3"",""total"":1,""title"":""Speaking Part 3"",""part"":""Part 3"",""questions"":[{""urlpic1"":""https://www.aptiskey.com/images/speaking/part3/de16_1.png"",""urlpic2"":""https://www.aptiskey.com/images/speaking/part3/de16_2.png"",""question1"":""Tell me what you see in the two pictures and compare them."",""question1_answer"":""In both pictures, I can see people travelling using different types of transportation.\n\nIn the first picture, I can see a person at an airport. He is carrying a suitcase and looking at an airplane through the window. He is probably waiting for his flight to another place.\n\nIn the second picture, I can see a person standing at a train station. He is waiting for a train and listening to music with earphones.\n\nThe main difference between these two pictures is that the first picture shows air travel, which is usually used for long distances, while the second picture shows train travel, which is more common for shorter journeys."",""question2"":""Why do people choose different forms of transportation?"",""question2_answer"":""I think people choose different forms of transportation because each type has its own advantages.\n\nAirplanes are fast and convenient for travelling long distances, while trains are often cheaper and more comfortable for daily travel.\n\nPeople also consider factors such as cost, travel time and convenience before choosing a type of transport. For example, a person going on an international trip may choose a plane, but someone travelling to work may prefer a train."",""question3"":""How can transportation systems be improved in the future?"",""question3_answer"":""Transportation systems can be improved by becoming faster, safer and more environmentally friendly.\n\nGovernments can invest in better public transportation, develop electric vehicles and improve roads and stations. People should also be encouraged to use public transport more often to reduce traffic and pollution.\n\nI think modern transportation should focus on saving time while also protecting the environment.""}]}",Speaking Part 3 import template,10,16
SPEAKING_PART3,Why do people like gardening?,"{""template"":""SPEAKING_PART3"",""total"":1,""title"":""Speaking Part 3"",""part"":""Part 3"",""questions"":[{""urlpic1"":""https://www.aptiskey.com/images/speaking/part3/de17_1.png"",""urlpic2"":""https://www.aptiskey.com/images/speaking/part3/de17_2.png"",""question1"":""Tell me what you see in the two pictures and compare them."",""question1_answer"":""In both pictures, I can see people doing gardening activities.\n\nIn the first picture, I can see a woman growing vegetables in a garden. She is picking tomatoes from the plants and putting them into a basket. It looks like she enjoys growing fresh food by herself.\n\nIn the second picture, I can see a man and a child planting flowers in a garden. They are working together and learning how to take care of plants.\n\nThe main difference between these two pictures is that the first picture shows an individual growing vegetables, while the second picture shows a family activity where adults and children work together."",""question2"":""Why do people like gardening?"",""question2_answer"":""I think people like gardening because it is a relaxing and useful activity.\n\nGardening helps people reduce stress, spend time outdoors and connect with nature. Besides that, growing their own vegetables and flowers can make people feel proud and satisfied.\n\nFor example, many people enjoy planting vegetables because they can have fresh and healthy food for their families."",""question3"":""How can parents encourage children to learn about nature?"",""question3_answer"":""Parents can encourage children to learn about nature by involving them in outdoor activities.\n\nFor example, they can teach children how to plant flowers, grow vegetables or take care of animals. Parents can also take children to parks, farms or natural places to help them understand the environment better.\n\nI think these activities are important because they help children become more responsible and appreciate nature.""}]}",Speaking Part 3 import template,10,17
SPEAKING_PART3,Why do people enjoy listening to music?,"{""template"":""SPEAKING_PART3"",""total"":1,""title"":""Speaking Part 3"",""part"":""Part 3"",""questions"":[{""urlpic1"":""https://www.aptiskey.com/images/speaking/part3/de18_1.png"",""urlpic2"":""https://www.aptiskey.com/images/speaking/part3/de18_2.png"",""question1"":""Tell me what you see from the two picture?"",""question1_answer"":""In both pictures, I can see people enjoying music activities.\n\nIn the first picture, I can see a woman sitting on a sofa and listening to music with headphones. She looks happy and relaxed, and she seems to be enjoying her free time at home.\n\nIn the second picture, I can see a singer performing on a stage with other musicians. She is holding a microphone and singing in front of an audience.\n\nThe main difference between these two pictures is that the first picture shows someone listening to music privately, while the second picture shows a professional live performance."",""question2"":""Why do people enjoy listening to music?"",""question2_answer"":""I think people enjoy listening to music because music can help them relax and improve their mood.\n\nAfter a busy day, many people listen to their favorite songs to reduce stress and feel more comfortable. Music can also bring back memories and help people express their emotions.\n\nMoreover, different types of music can suit different situations, such as studying, exercising or relaxing."",""question3"":""How can people develop their talent in music?"",""question3_answer"":""People can develop their talent in music by practicing regularly and learning from experienced people.\n\nFor example, they can take music lessons, join a music club or practice playing an instrument every day. They should also listen to different kinds of music to improve their skills and creativity.\n\nI think patience and passion are the most important things because becoming good at music requires a lot of time and effort.""}]}",Speaking Part 3 import template,10,18
SPEAKING_PART3,Why do children like playing games?,"{""template"":""SPEAKING_PART3"",""total"":1,""title"":""Speaking Part 3"",""part"":""Part 3"",""questions"":[{""urlpic1"":""https://www.aptiskey.com/images/speaking/part3/de19_1.png"",""urlpic2"":""https://www.aptiskey.com/images/speaking/part3/de19_2.png"",""question1"":""Tell me what you see from the two picture?"",""question1_answer"":""In both pictures, I can see children spending their free time playing games.\n\nIn the first picture, I can see a family playing chess together at a table. The parents are helping the child, and everyone looks happy and relaxed. This activity seems to be a good way for family members to communicate with each other.\n\nIn the second picture, I can see a boy playing a video game with a controller. He is sitting alone and focusing on the screen.\n\nThe main difference between these two pictures is that the first picture shows a traditional game with family interaction, while the second picture shows a modern electronic game played individually."",""question2"":""Why do children like playing games?"",""question2_answer"":""I think children like playing games because games are fun and help them relax after studying.\n\nGames can also help children develop important skills. For example, chess can improve logical thinking and problem-solving skills, while video games can improve concentration and reaction speed.\n\nBesides that, playing games with others can help children make friends and improve their communication skills."",""question3"":""How can parents control children's use of technology?"",""question3_answer"":""Parents can control children's use of technology by setting clear rules and encouraging a healthy balance.\n\nFor example, they can limit the amount of time children spend playing video games and encourage them to do other activities such as reading books, playing sports or spending time with family.\n\nI think parents should not completely stop children from using technology because technology is useful, but they should guide children to use it in a responsible way.""}]}",Speaking Part 3 import template,10,19
SPEAKING_PART3,Why do some people prefer cooking at home?,"{""template"":""SPEAKING_PART3"",""total"":1,""title"":""Speaking Part 3"",""part"":""Part 3"",""questions"":[{""urlpic1"":""https://www.aptiskey.com/images/speaking/part3/de20_1.png"",""urlpic2"":""https://www.aptiskey.com/images/speaking/part3/de20_2.png"",""question1"":""Tell me what you see from the two picture?"",""question1_answer"":""In both pictures, I can see people enjoying food and meals in different ways.\n\nIn the first picture, I can see a man cooking with a child in a kitchen. They are preparing vegetables and making food together. It looks like a family activity and they seem happy spending time together.\n\nIn the second picture, I can see a man eating at an outdoor restaurant. He is sitting at a table and enjoying his meal in a public place.\n\nThe main difference between these two pictures is that the first picture shows people cooking at home, while the second picture shows someone eating outside at a restaurant."",""question2"":""Why do some people prefer cooking at home?"",""question2_answer"":""I think some people prefer cooking at home because it is healthier and more economical.\n\nWhen people cook at home, they can choose fresh ingredients and control the amount of salt, sugar or oil in their food. Cooking at home can also help families spend more time together and improve their relationships.\n\nMoreover, many people enjoy cooking because it is a relaxing and creative activity."",""question3"":""Why do people like eating at restaurants?"",""question3_answer"":""People like eating at restaurants because it is convenient and gives them a chance to enjoy different kinds of food.\n\nThey do not need to spend time preparing meals or cleaning after eating. Restaurants also provide a comfortable place for people to meet friends, celebrate special occasions or try new dishes.\n\nI think eating at restaurants is a good way to relax and have enjoyable experiences with other people.""}]}",Speaking Part 3 import template,10,20
